Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
257,0,0.0071474,-0.0367666,-0.00547839,-6.99744,40.7043,393.151
258,0,0.00970254,-0.0361027,-0.00459181,-6.9258,40.7949,394.061
259,0,0.00665605,-0.0366082,-0.00586342,-7.00417,40.8209,395.071
260,0,0.00877376,-0.0362441,-0.00505112,-7.03125,40.9358,396.021
261,0,0.0100909,-0.0367772,-0.00409281,-6.89792,41.0117,396.926
262,0,0.0056263,-0.0359732,-0.00696631,-6.98507,41.0534,397.905
263,0,0.00807834,-0.0367006,-0.00631361,-6.90583,41.2066,398.736
264,0,0.00955264,-0.0356808,-0.00446813,-6.84026,41.2789,399.669
265,0,0.00623703,-0.035357,-0.00632703,-7.05465,41.3661,400.672
266,0,0.0100077,-0.0360637,-0.00551252,-6.96076,41.4457,401.524
267,0,0.0111752,-0.0347984,-0.00301299,-6.92316,41.479,402.418
268,0,0.00762506,-0.0359298,-0.00670854,-7.01178,41.6242,403.333
269,0,0.00931453,-0.0352308,-0.00594738,-7.01018,41.6184,404.237
270,0,0.0127459,-0.033822,-0.00184867,-6.91662,41.6918,405.004
271,0,0.00915857,-0.0340672,-0.00562307,-6.97557,41.7934,405.83
272,0,0.00736199,-0.03511,-0.00806332,-7.02794,41.8293,406.705
273,0,0.012346,-0.0339217,-0.00253899,-6.97148,41.878,407.44
274,0,0.0133186,-0.0333916,-0.00189434,-6.94472,41.9931,408.156
275,0,0.0108771,-0.0344434,-0.00493083,-7.05599,42.0569,408.963
276,0,0.00833045,-0.0355513,-0.00649142,-6.95714,42.0557,409.65
277,0,0.0141367,-0.0346864,-0.00132591,-6.9668,42.1318,410.332
278,0,0.0154853,-0.0343487,-0.00085945,-6.97048,42.1944,410.946
279,0,0.0125288,-0.0351447,-0.00327613,-7.04005,42.2129,411.603
280,0,0.0121969,-0.0364413,-0.0029613,-6.99743,42.2475,412.208
281,0,0.0120277,-0.0351201,-0.00264654,-7.01927,42.3173,412.745
282,0,0.014476,-0.0336243,0.00014889,-6.99994,42.3294,413.235
283,0,0.0128,-0.0353162,-0.00228676,-6.90421,42.3664,413.686
284,0,0.0145446,-0.0369147,-0.00266987,-6.96572,42.3817,414.229
285,0,0.0105451,-0.0373911,-0.00445359,-7.0277,42.3665,414.688
286,0,0.0117204,-0.0369577,-0.00290153,-6.98472,42.4196,415.135
287,0,0.0121276,-0.0355958,-0.00199537,-6.98002,42.4694,415.494
288,0,0.013372,-0.034874,-0.00055024,-6.95684,42.4798,415.771
289,0,0.01412,-0.0344291,0.000333932,-6.90711,42.4972,416.114
290,0,0.0136892,-0.0344177,-0.00130279,-6.8215,42.527,416.383
291,0,0.0155184,-0.0349808,4.23691e-05,-6.96225,42.491,416.74
292,0,0.0128716,-0.0354551,-0.0016619,-6.90571,42.451,416.971
293,0,0.012577,-0.0366018,-0.00261724,-6.92081,42.471,417.262
294,0,0.011631,-0.0358735,-0.00345102,-6.96628,42.4562,417.485
295,0,0.00994564,-0.0370744,-0.00435638,-6.92775,42.4519,417.677
296,0,0.0118737,-0.0368624,-0.00354594,-6.92711,42.4632,417.896
297,0,0.00728489,-0.0344027,-0.00515855,-6.85823,42.4368,417.882
298,0,0.00974912,-0.0356551,-0.00292059,-6.92694,42.414,418.022
299,0,0.00883287,-0.0353986,-0.00313361,-6.83764,42.4332,418.06
300,0,0.00988682,-0.0344266,-0.00208577,-6.86662,42.3933,418.148
301,0,0.00906761,-0.034189,-0.00217475,-6.80437,42.3437,418.158
302,0,0.0103929,-0.0351113,-0.00138413,-6.81955,42.3267,418.199
303,0,0.00941894,-0.034854,-0.00158047,-6.80378,42.3065,418.19
304,0,0.00923215,-0.0341172,-0.000988837,-6.80067,42.2653,418.192
305,0,0.00829035,-0.0353124,-0.000993949,-6.77216,42.2426,418.154
306,0,0.00994271,-0.035452,-0.000315138,-6.80294,42.2182,418.164
307,0,0.00710744,-0.0347028,-0.00187937,-6.75575,42.16,418.081
308,0,0.00877038,-0.0353974,0.000130195,-6.81776,42.1108,418.105
309,0,0.00883177,-0.036619,-0.000583741,-6.7701,42.0956,418.048
310,0,0.00930493,-0.0365011,-0.000452482,-6.79821,42.054,418.003
311,0,0.00682909,-0.0362474,-0.00152001,-6.74821,41.9957,417.905
312,0,0.00841757,-0.0377412,-0.000835593,-6.78297,41.9527,417.889
313,0,0.00813947,-0.0379446,-0.000716864,-6.78816,41.9303,417.828
314,0,0.00937167,-0.0372077,-6.36186e-05,-6.77137,41.8771,417.77
315,0,0.00790625,-0.0381532,0.000282494,-6.72961,41.8146,417.664
